y"No.","キーワード検索","地域","件数","会社名","郵便番号","住所","電子メール","URL","コメント","電話番号 1","FAX番号 1","電話番号 2","FAX番号 2","電話番号 3","FAX番号 3","電話番号 4","FAX番号 4","電話番号 5","FAX番号 5","電話番号 6","FAX番号 6","電話番号 7","FAX番号 7","電話番号 8","FAX番号 8","電話番号 9","FAX番号 9","電話番号 10","FAX番号 10","電話番号 11","FAX番号 11","電話番号 12","FAX番号 12","電話番号 13","FAX番号 13","電話番号 14","FAX番号 14","電話番号 15","FAX番号 15","電話番号 16","FAX番号 16","電話番号 17","FAX番号 17","電話番号 18","FAX番号 18","電話番号 19","FAX番号 19","電話番号 20","FAX番号 20","LocName","fX","fY","iConf","iLvl"
,,,,麺屋二郎／指宿駅前店,891-0405,鹿児島県指宿市湊１丁目９－１７,,,,0993-26-4358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/指宿市/湊/一丁目/９番","130.64261","31.23874","5","7"
,,,,拉麺王角,899-4341,鹿児島県霧島市国分野口東３－１２９６－１,,,,0995-47-3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/国分野口東/３番","130.75893","31.73764","5","7"
,,,,麺屋希,891-3604,鹿児島県熊毛郡中種子町野間５１７２－３５,,,,0997-27-0773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/中種子町/野間/５１７２番地","130.96307","30.53283","5","7"
,,,,ふじ十,891-3111,鹿児島県西之表市西町７９－１Ｆ,,,,0997-23-1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/西之表市/西町/７９番地","130.99496","30.73357","5","7"
,,,,麺家政,892-0844,鹿児島県鹿児島市山之口町８－２４－１Ｆ,,,,099-248-9972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/山之口町/８番","130.55423","31.58820","5","7"
,,,,らぁめん一心,891-0141,鹿児島県鹿児島市谷山中央４丁目４９２６,,,,099-260-1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/谷山中央/四丁目/４９２６番地","130.51775","31.52087","5","7"
,,,,しゃくしあん,890-0054,鹿児島県鹿児島市荒田２丁目７０－１１,,,,099-257-9862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/荒田/二丁目/７０番","130.55029","31.56945","5","7"
,,,,美味,891-0175,鹿児島県鹿児島市桜ヶ丘５丁目２－１０,,,,099-264-2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/桜ケ丘/五丁目/２番","130.51674","31.54953","5","7"
,,,,ねぎらあめん天文館店,892-0843,鹿児島県鹿児島市千日町７－１５－１Ｆ,,,,099-225-1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/千日町/７番","130.55507","31.58911","5","7"
,,,,炙りチャーシュー文炎草牟田店,890-0015,鹿児島県鹿児島市草牟田町３－２,,,,099-227-9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/草牟田町/３番","130.53595","31.60825","5","7"
,,,,グレイ,890-0082,鹿児島県鹿児島市紫原２丁目２－１３－１Ｆ,,,,099-255-3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/紫原/二丁目/２番","130.53564","31.56215","5","7"
,,,,のり一,892-0844,鹿児島県鹿児島市山之口町９－３－１Ｆ,,,,099-222-4497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/山之口町/９番","130.55391","31.58855","5","7"
,,,,仏跳麺坂元店,892-0861,鹿児島県鹿児島市東坂元２丁目６０－２０,,,,099-248-1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/東坂元/二丁目/６０番","130.55594","31.62604","5","7"
,,,,珍味,895-0041,鹿児島県薩摩川内市隈之城町１４１５,,,,0996-22-6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/隈之城町/１４１５番地","130.31206","31.79205","5","7"
,,,,川内飯店,895-0023,鹿児島県薩摩川内市横馬場町９－５,,,,0996-22-7796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/横馬場町/９番","130.31021","31.81805","5","7"
,,,,永楽園,893-0009,鹿児島県鹿屋市大手町３－２,,,,0994-42-3561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿屋市/大手町/３番","130.85002","31.38931","5","7"
,,,,ら・ぱしゃ本店,893-0007,鹿児島県鹿屋市北田町１１１３４－１,,,,0994-43-7555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿屋市/北田町/１１１３４番地","130.84476","31.39216","5","7"
,,,,一番食堂,893-0064,鹿児島県鹿屋市西原１丁目２９－９,,,,0994-43-7239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿屋市/西原/一丁目/２９番","130.83620","31.38473","5","7"
,,,,しずか,893-0025,鹿児島県鹿屋市西祓川町８９２－８,,,,0994-42-3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿屋市/西祓川町/８９２番地","130.85365","31.40337","5","7"
,,,,ゆのまえ食堂,896-0001,鹿児島県いちき串木野市曙町１１５,,,,0996-32-3340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/いちき串木野市/曙町/１１５番地","130.27371","31.72001","5","7"
,,,,味処松原,896-0014,鹿児島県いちき串木野市元町１７８,,,,0996-32-0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/いちき串木野市/元町/１７８番地","130.26657","31.71953","5","7"
,,,,一番軒／入舟店,894-0034,鹿児島県奄美市名瀬入舟町３－１０,,,,0997-52-8075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/名瀬入舟町/３番","129.49356","28.38183","5","7"
,,,,千門食堂,894-0034,鹿児島県奄美市名瀬入舟町７－８,,,,0997-52-0415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/名瀬入舟町/７番","129.49222","28.38166","5","7"
,,,,味処八方園名瀬店,894-0031,鹿児島県奄美市名瀬金久町４－１５,,,,0997-52-2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/名瀬金久町/４番","129.49200","28.38109","5","7"
,,,,番番,891-0406,鹿児島県指宿市湯の浜３丁目１－１６,,,,0993-22-5873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/指宿市/湯の浜/三丁目/１番","130.64517","31.23331","5","7"
,,,,満福,897-0002,鹿児島県南さつま市加世田武田１８５７９－２,,,,0993-52-2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南さつま市/加世田武田/１８５７９番地","130.31943","31.41983","5","7"
,,,,東天紅,891-3115,鹿児島県西之表市天神町５－１５,,,,0997-22-1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/西之表市/天神町/５番","130.99532","30.72779","5","7"
,,,,居酒屋弥太郎,891-3111,鹿児島県西之表市西町７０９０－１Ｆ,,,,0997-22-2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/西之表市/西町/７０９０番地","130.99586","30.73356","5","7"
,,,,弥太郎,891-3111,鹿児島県西之表市西町７０９０－１Ｆ,,,,0997-22-2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/西之表市/西町/７０９０番地","130.99586","30.73356","5","7"
,,,,パイカル食堂,891-2121,鹿児島県垂水市栄町１６,,,,0994-32-2712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/垂水市/栄町/１６番地","130.69981","31.49260","5","7"
,,,,桜島ドライブイン,891-1420,鹿児島県鹿児島市桜島赤水町１４２７,,,,099-293-3558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/桜島赤水町","130.61345","31.57322","5","5"
,,,,中華料理元,891-0703,鹿児島県南九州市頴娃町御領７４８６－６,,,,0993-38-2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南九州市/頴娃町御領/７４８６番地","130.45869","31.25483","5","7"
,,,,街門食堂,891-0703,鹿児島県南九州市頴娃町御領６８４１－１,,,,0993-38-2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南九州市/頴娃町御領/６８４１番地","130.46669","31.25088","5","7"
,,,,やまちゃん,891-0603,鹿児島県指宿市開聞十町２９１２－２,,,,0993-32-2438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/指宿市/開聞十町/２９１２番地","130.53455","31.20350","5","7"
,,,,みなとばし食堂,897-0302,鹿児島県南九州市知覧町郡１４４－１,,,,0993-83-2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南九州市/知覧町郡/１４４番地","130.43265","31.37415","5","7"
,,,,大和屋食堂,899-2101,鹿児島県いちき串木野市湊町１１２－１,,,,0996-36-2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/いちき串木野市/湊町","130.28979","31.69391","5","5"
,,,,大関,899-2202,鹿児島県日置市東市来町長里２４７５－３,,,,099-274-6767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/日置市/東市来町長里","130.34946","31.65306","5","5"
,,,,ぎおん,899-2101,鹿児島県いちき串木野市湊町１丁目１５０,,,,0996-36-3319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/いちき串木野市/湊町/一丁目/１５０番地","130.29044","31.69403","5","7"
,,,,フクヤマ食品株式会社,899-2514,鹿児島県日置市伊集院町中川１２７６,,,,099-273-9306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/日置市/伊集院町中川/１２７６番地","130.45392","31.65175","5","7"
,,,,フクヤマ食品株式会社／本社・工場,899-2514,鹿児島県日置市伊集院町中川１２７６,info@fukuyamamen.com,http://www.fukuyamamen.com,,099-273-9306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/日置市/伊集院町中川/１２７６番地","130.45392","31.65175","5","7"
,,,,百万石ドライブイン,899-2442,鹿児島県日置市伊集院町野田４９３－３,,,,099-273-0069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/日置市/伊集院町野田/４９３番地","130.38184","31.64593","5","7"
,,,,華龍閣,899-3301,鹿児島県日置市吹上町中原２４６５,,,,099-296-2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/日置市/吹上町中原/２４６５番地","130.35016","31.50797","5","7"
,,,,麺どころ味匠,895-1801,鹿児島県薩摩郡さつま町広瀬１３９４,,,,0996-53-0518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩郡/さつま町/広瀬/１３９４番地","130.49202","31.91930","5","7"
,,,,ふじ食堂,895-2201,鹿児島県薩摩郡さつま町求名３６９５,,,,0996-57-0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩郡/さつま町/求名","130.53412","31.94143","5","5"
,,,,一休,895-1501,鹿児島県薩摩川内市祁答院町下手９７７,,,,0996-55-1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/祁答院町下手","130.48224","31.85518","5","5"
,,,,お多福,895-1501,鹿児島県薩摩川内市祁答院町下手１７４９,,,,0996-55-0211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/祁答院町下手","130.48224","31.85518","5","5"
,,,,たかえ食堂,895-1501,鹿児島県薩摩川内市祁答院町下手６６－１,,,,0996-55-0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/祁答院町下手","130.48224","31.85518","5","5"
,,,,天天有,899-5215,鹿児島県姶良市加治木町本町４８,,,,0995-63-2355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/姶良市/加治木町本町","130.66283","31.73813","5","5"
,,,,風流食堂,899-5432,鹿児島県姶良市宮島町２６－９,,,,0995-65-2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/姶良市/宮島町/２６番","130.62822","31.72788","5","7"
,,,,四季,899-6404,鹿児島県霧島市溝辺町麓１３１３－４,,,,0995-58-2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/溝辺町麓/１３１３番地","130.71097","31.79836","5","7"
,,,,ドライブインインター,899-6303,鹿児島県霧島市横川町中ノ３９５,,,,0995-72-1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/横川町中ノ/３９５番地","130.69373","31.89785","5","7"
,,,,味処なかた,899-6303,鹿児島県霧島市横川町中ノ２９０,,,,0995-72-0140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/横川町中ノ/２９０番地","130.70251","31.90355","5","7"
,,,,小手茶屋,899-4202,鹿児島県霧島市霧島永水３３０３－９,,,,0995-57-0906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/霧島永水","130.83055","31.80499","5","5"
,,,,大吉,899-7103,鹿児島県志布志市志布志町志布志３丁目２２－２４,,,,099-473-3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/志布志市/志布志町志布志/三丁目/２２番","131.09680","31.47341","5","7"
,,,,慶田国弘,899-7401,鹿児島県志布志市有明町伊崎田５５６０－６,,,,099-474-1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/志布志市/有明町伊崎田","131.05296","31.53688","5","5"
,,,,伊崎田ドライブイン,899-7401,鹿児島県志布志市有明町伊崎田１０９９－２,,,,099-474-0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/志布志市/有明町伊崎田","131.05296","31.53688","5","5"
,,,,大吉食堂,899-7301,鹿児島県曽於郡大崎町菱田２５４４－５,,,,099-477-2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/曽於郡/大崎町/菱田","131.04700","31.44728","5","5"
,,,,食堂たなか,891-8327,鹿児島県大島郡伊仙町大字犬田布６１７－２,,,,0997-86-9250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/伊仙町/犬田布","128.89320","27.71483","5","5"
,,,,芭蕉亭,891-9301,鹿児島県大島郡与論町大字茶花２７－１,,,,0997-97-2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/与論町/茶花","128.41473","27.04818","5","5"
,,,,仏跳麺鹿屋寿店,893-0014,鹿児島県鹿屋市寿３丁目８－３３,,,,0994-40-6488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿屋市/寿/三丁目/８番","130.86989","31.38763","5","7"
,,,,ミゼッタ,895-0023,鹿児島県薩摩川内市横馬場町１－５,,,,0996-20-2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/横馬場町/１番","130.31001","31.81609","5","7"
,,,,仏跳麺笹貫バイパス店,891-0113,鹿児島県鹿児島市東谷山４丁目１８－１,,,,099-284-5770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/東谷山/四丁目/１８番","130.52164","31.53348","5","7"
,,,,金太郎,891-3701,鹿児島県熊毛郡南種子町中之上２７８８－３０,,,,0997-26-0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/南種子町/中之上/２７８８番地","130.90105","30.41527","5","7"
,,,,食事処南国,890-0023,鹿児島県鹿児島市永吉１丁目３５－１３,,,,099-255-8775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/永吉/一丁目/３５番","130.53430","31.60212","5","7"
,,,,肉そば兎,892-0842,鹿児島県鹿児島市東千石町２０－５－１Ｆ,,,,099-223-5435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/東千石町/２０番","130.55505","31.59283","5","7"
,,,,ドライブイン・サン,891-7423,鹿児島県大島郡徳之島町山１５９５－９,,,,0997-84-9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/徳之島町/山","128.95656","27.86635","5","5"
,,,,豊城,895-2703,鹿児島県伊佐市菱刈花北６０６,,,,0995-26-0971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/伊佐市/菱刈花北","130.62761","32.03702","5","5"
,,,,御食事処桔梗,895-1803,鹿児島県薩摩郡さつま町宮之城屋地７３９－３,,,,0996-52-2708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩郡/さつま町/宮之城屋地/７３９番地","130.45074","31.89151","5","7"
,,,,中華料理北京,890-0025,鹿児島県鹿児島市原良町３１２７,,,,099-257-4428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/原良町/３１２７番地","130.53207","31.59558","5","7"
,,,,成り上がり,891-7425,鹿児島県大島郡徳之島町花徳１６４９－１,,,,0997-84-0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/徳之島町/花徳","128.96333","27.82490","5","5"
,,,,博多金龍国分店,899-4321,鹿児島県霧島市国分広瀬１丁目１０２８－６,,,,0995-46-2767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/国分広瀬/一丁目","130.74823","31.72084","5","6"
,,,,レストランおふくろ,899-6603,鹿児島県霧島市牧園町高千穂３８６５－４５,,,,0995-78-4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/牧園町高千穂/３８６５番地","130.81833","31.88676","5","7"
,,,,博多金龍川内店,895-0061,鹿児島県薩摩川内市御陵下町２０－２６,,,,0996-22-8660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/御陵下町/２０番","130.29475","31.83134","5","7"
,,,,ピノッキオ,892-0871,鹿児島県鹿児島市吉野町２２８３－７,,,,099-244-7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/吉野町/２２８３番地","130.56764","31.63924","5","7"
,,,,博多金龍出水店,899-0202,鹿児島県出水市昭和町６１－１,,,,0996-62-1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水市/昭和町","130.35597","32.08939","5","5"
,,,,たんたん中華料理店,899-0125,鹿児島県出水市黄金町４０９,,,,0996-63-8661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水市/黄金町","130.34697","32.09968","5","5"
,,,,食事処しゅう平,899-1303,鹿児島県出水郡長島町指江１３６１－６,,,,0996-88-6614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水郡/長島町/指江","130.11742","32.15747","5","5"
,,,,おかん,893-1206,鹿児島県肝属郡肝付町前田４８２６－３,,,,0994-65-0487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/肝属郡/肝付町/前田/４８２６番地","130.92987","31.34108","5","7"
,,,,中華めん屋,899-0405,鹿児島県出水市高尾野町下水流９０６－２,,,,0996-82-4571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水市/高尾野町下水流","130.30034","32.09563","5","5"
,,,,はしにし家,899-2504,鹿児島県日置市伊集院町郡１６３１－１,,,,099-272-2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/日置市/伊集院町郡/１６３１番地","130.40608","31.64063","5","7"
,,,,大翔,894-0022,鹿児島県奄美市名瀬久里町１４－１,,,,0997-53-0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/名瀬久里町/１４番","129.49792","28.37340","5","7"
,,,,飛車角,893-0014,鹿児島県鹿屋市寿８丁目２－２４,,,,0994-41-1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿屋市/寿/八丁目/２番","130.87378","31.38430","5","7"
,,,,みそや堂・別庵,891-0123,鹿児島県鹿児島市卸本町８－６,,,,099-260-1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/卸本町/８番","130.52107","31.51112","5","7"
,,,,蘭丹,899-2201,鹿児島県日置市東市来町湯田３２７８－２,,,,099-274-4518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/日置市/東市来町湯田/３２７８番地","130.33363","31.67180","5","7"
,,,,一番軒中勝本店,894-0106,鹿児島県大島郡龍郷町中勝２２９５－１,,,,0997-62-5190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/龍郷町/中勝","129.57307","28.38501","5","5"
,,,,平和食堂我流風,892-0814,鹿児島県鹿児島市本港新町５,,,,099-239-2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/本港新町/５番地","130.56337","31.59353","5","7"
,,,,ユキ,891-6142,鹿児島県大島郡喜界町大字小野津１５２８,,,,0997-66-0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/喜界町/小野津","130.00589","28.36618","5","5"
,,,,羅麺専門店我流風,891-0115,鹿児島県鹿児島市東開町７－１Ｆ,,,,099-263-1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/東開町/７番","130.53517","31.52797","5","7"
,,,,慶ミン,899-5117,鹿児島県霧島市隼人町見次１２５６－１,,,,0995-43-5533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/隼人町見次","130.74037","31.74120","5","5"
,,,,あじへい,899-1401,鹿児島県出水郡長島町鷹巣１８５９,,,,0996-86-0853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水郡/長島町/鷹巣","130.17578","32.19865","5","5"
,,,,麺屋我流風ダイエー鹿児島店,890-0063,鹿児島県鹿児島市鴨池２丁目２６－３０,,,,099-251-3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/鴨池/二丁目/２６番","130.55086","31.56237","5","7"
,,,,麺屋二郎,891-0311,鹿児島県指宿市西方１９３４－４,,,,0993-24-5742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/指宿市/西方/１９３４番地","130.63168","31.25946","5","7"
,,,,麺人佐藤,890-0074,鹿児島県鹿児島市宇宿町２０３５－１,,,,099-298-5310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/宇宿町","130.52206","31.55172","5","5"
,,,,らぁめん柿の木いづろ店,892-0825,鹿児島県鹿児島市大黒町４－１８,,,,099-227-8177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/大黒町/４番","130.55838","31.59140","5","7"
,,,,麺屋たくろう,899-0502,鹿児島県出水市野田町下名１６４－８,,,,0996-84-2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水市/野田町下名","130.26694","32.07033","5","5"
,,,,製麺ダイニングｊａｎｇｏ,890-0053,鹿児島県鹿児島市中央町２１－２７－１Ｆ,,,,099-259-2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/中央町/２１番","130.54228","31.58204","5","7"
,,,,まるたけほんき国分店,899-4341,鹿児島県霧島市国分野口東５－３,,,,0995-47-4715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/国分野口東/５番","130.75659","31.73762","5","7"
,,,,グリル太平,893-0011,鹿児島県鹿屋市打馬１丁目１４－２７,,,,0994-42-2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿屋市/打馬/一丁目/１４番","130.85522","31.39317","5","7"
,,,,光華炎,899-8605,鹿児島県曽於市末吉町二之方２２８９－２,,,,0986-76-6643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/曽於市/末吉町二之方","131.03168","31.64038","5","5"
,,,,こむらさきアミュプラザ店,890-0053,鹿児島県鹿児島市中央町１－１－Ｂ１Ｆ,,,,099-812-7058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/中央町/１番","130.54256","31.58537","5","7"
,,,,麺屋くるり,891-9111,鹿児島県大島郡和泊町大字手々知名５１２－７６,,,,0997-92-3870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/和泊町/手々知名/５１２番地","128.65704","27.39577","5","7"
,,,,麺処村尾,894-0034,鹿児島県奄美市名瀬入舟町１１－１３－１Ｆ,,http://www.westflash.co.jp,,0997-52-7460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/名瀬入舟町/１１番","129.49345","28.38089","5","7"
,,,,めんくい亭,891-0105,鹿児島県鹿児島市中山町２０４０－１,,,,099-260-5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/中山町/２０４０番地","130.50305","31.54370","5","7"
,,,,天下一品宇宿店,890-0073,鹿児島県鹿児島市宇宿２丁目２６－１９,,,,099-210-5571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/宇宿/二丁目/２６番","130.53673","31.53988","5","7"
