"No.","業種検索","地域","件数","会社名","郵便番号","住所","電子メール","URL","コメント","電話番号 1","FAX番号 1","電話番号 2","FAX番号 2","電話番号 3","FAX番号 3","電話番号 4","FAX番号 4","座標X","座標Ｙ","icon","iLv","LocName","fX","fY","iConf","iLvl"
,,,,京極町名水プラザ,044-0131,北海道虻田郡京極町字川西４４,,,,0136-42-2292,,,,,,,,,,,,"北海道/虻田郡/京極町/川西","140.88609","42.82556","5","5"
,,,,きららお食事の店,059-0922,北海道白老郡白老町字萩野３３８－４７,,,,0144-83-3898,,,,,,,,,,,,"北海道/白老郡/白老町/萩野/３３８番地","141.29610","42.52630","5","7"
,,,,綺羅々亭,057-0023,北海道浦河郡浦河町栄丘東通３５－５,,http://kiraratei.hp.infoseek.co.jp/,,0146-22-5797,,,,,,,,,,,,"北海道/浦河郡/浦河町/栄丘東通/３５番地","142.76907","42.17111","5","7"
,,,,きらりレストラン,088-2461,北海道川上郡標茶町字虹別市街１１,,,,015-488-3466,,,,,,,,,,,,"北海道/川上郡/標茶町/虹別市街","144.67297","43.46519","5","5"
,,,,季璃香,060-0042,北海道札幌市中央区大通西３丁目７,,,,011-219-2180,,,,,,,,,,,,"北海道/札幌市/中央区/大通西/三丁目","141.35291","43.06062","5","6"
,,,,霧の下／元町店,065-0023,北海道札幌市東区北２３条東２０丁目５－３３,,,,011-782-0008,,,,,,,,,,,,"北海道/札幌市/東区/北二十三条東/二十丁目/５番","141.38268","43.09365","5","7"
,,,,樹林,059-2402,北海道新冠郡新冠町字中央町１－４,,,,0146-47-4360,,,,,,,,,,,,"北海道/新冠郡/新冠町/中央町","142.31189","42.36181","5","5"
,,,,キリンビール株式会社北海道千歳工場キリンビアレストランハウベ,066-0077,北海道千歳市上長都９４９－１,,,,0123-23-0101,,,,,,,,,,,,"北海道/千歳市/上長都/９４９番地","141.61725","42.84953","5","7"
,,,,キーウエスト,053-0832,北海道苫小牧市桜木町３丁目２０－８,,http://www.ad2.jp/keywest/,,0144-74-6222,,,,,,,,,,,,"北海道/苫小牧市/桜木町/三丁目/２０番","141.55309","42.63083","5","7"
,,,,キースプリングニセコ,048-1321,北海道磯谷郡蘭越町字湯里７０１－１２,,,,0136-55-5738,,,,,,,,,,,,"北海道/磯谷郡/蘭越町/湯里","140.61052","42.81719","5","5"
,,,,牛肉本舗くろ,088-3204,北海道川上郡弟子屈町朝日１丁目３－９,,,,015-486-7150,,,,,,,,,,,,"北海道/川上郡/弟子屈町/朝日/一丁目/３番","144.46120","43.48718","5","7"
,,,,餃子の王将滝川店,073-0033,北海道滝川市新町６丁目２－３,,,,0125-24-1959,,,,,,,,,,,,"北海道/滝川市/新町/六丁目/２番","141.92583","43.55261","5","7"
,,,,銀座ライオン旭川店,070-0030,北海道旭川市宮下通１１丁目１３９８－２,,http://r.gnavi.co.jp/h001208/,,0166-24-7211,,,,,,,,,,,,"北海道/旭川市/宮下通/十一丁目/１３９８番地","142.36429","43.76315","5","7"
,,,,銀座ライオン新千歳空港店,066-0012,北海道千歳市美々,,,,0123-45-6330,,,,,,,,,,,,"北海道/千歳市/美々","141.69029","42.78782","5","5"
,,,,銀座ライオン・ノースカントリーゴルフクラブ店,066-0068,北海道千歳市蘭越２６,,,,0123-27-2606,,,,,,,,,,,,"北海道/千歳市/蘭越","141.60400","42.81745","5","5"
,,,,くぅふく倉庫,070-8002,北海道旭川市神楽２条８丁目１－１２,,,,0166-63-1017,0166-63-1017,,,,,,,,,,,"北海道/旭川市/神楽二条/八丁目/１番","142.35541","43.75885","5","7"
,,,,くう牛楽,040-0082,北海道函館市白鳥町１４－１２,,,,0138-41-9000,,,,,,,,,,,,"北海道/函館市/白鳥町/１４番","140.74747","41.79510","5","7"
,,,,クオーコタカハシ,085-0018,北海道釧路市黒金町７丁目３,,,,0154-23-6555,,,,,,,,,,,,"北海道/釧路市/黒金町/七丁目/３番地","144.38289","42.98518","5","7"
,,,,クオーレ,088-0300,北海道白糠郡白糠町茶路西１線８７－１,,,,01547-2-5030,,,,,,,,,,,,"北海道/白糠郡/白糠町/茶路西/一線","144.06042","42.97721","4","6"
,,,,クックカフェ旅の途中に,072-0012,北海道美唄市東１条南２丁目２－２,,,,0126-63-1333,,,,,,,,,,,,"北海道/美唄市/東一条南/二丁目/２番","141.86075","43.33009","5","7"
,,,,屈斜路湖ナチュラルオーベルジュ・ソラ,088-3341,北海道川上郡弟子屈町字屈斜路２６９,,http://www.auberge-sora.com/,,015-484-2538,,,,,,,,,,,,"北海道/川上郡/弟子屈町/屈斜路","144.31590","43.56852","5","5"
,,,,クネル,060-0062,北海道札幌市中央区南２条西８丁目,,,,011-876-8778,,,,,,,,,,,,"北海道/札幌市/中央区/南二条西/八丁目","141.34584","43.05663","5","6"
,,,,クピド・フェアアシリ・和來,068-0833,北海道岩見沢市志文町２９９－８,,,,0126-25-1177,,,,,,,,,,,,"北海道/岩見沢市/志文町/２９９番地","141.76149","43.16229","5","7"
,,,,くまげら,076-0025,北海道富良野市日の出町３－２２,,http://www.furano.ne.jp/kumagera/,,0167-39-2345,,,,,,,,,,,,"北海道/富良野市/日の出町/３番","142.39134","43.34466","5","7"
,,,,苦楽館,068-0026,北海道岩見沢市６条西４丁目２－５,,,,0126-25-0647,,,,,,,,,,,,"北海道/岩見沢市/六条西/四丁目/２番地","141.76538","43.19986","5","7"
,,,,クラブチャイナ,062-0021,北海道札幌市豊平区月寒西１条３丁目１－１８,,,,011-856-5718,,,,,,,,,,,,"北海道/札幌市/豊平区/月寒西一条/三丁目/１番","141.39058","43.03479","5","7"
,,,,クラーク亭北１２条店,001-0012,北海道札幌市北区北１２条西４丁目１－１８,,,,011-726-0029,,,,,,,,,,,,"北海道/札幌市/北区/北十二条西/四丁目/１番","141.34764","43.07494","5","7"
,,,,黒島,064-0804,北海道札幌市中央区南４条西２丁目２－４,,,,011-530-9640,,,,,,,,,,,,"北海道/札幌市/中央区/南四条西/二丁目/２番地","141.35570","43.05538","5","7"
,,,,くろべこ,055-0104,北海道沙流郡平取町字紫雲古津２００,,,,01457-2-4129,,,,,,,,,,,,"北海道/沙流郡/平取町/紫雲古津","142.06995","42.55021","5","5"
,,,,クローバー,085-0805,北海道釧路市桜ケ岡４丁目１－２２,,,,0154-91-2888,,,,,,,,,,,,"北海道/釧路市/桜ケ岡/四丁目/１番","144.42583","42.96635","5","7"
,,,,クローラー,064-0805,北海道札幌市中央区南５条西３丁目,,,,011-552-8187,,,,,,,,,,,,"北海道/札幌市/中央区/南五条西/三丁目","141.35439","43.05447","5","6"
,,,,くー（ＣＯＯ）,040-0082,北海道函館市白鳥町１４－１２,,,,0138-41-9000,,,,,,,,,,,,"北海道/函館市/白鳥町/１４番","140.74747","41.79510","5","7"
,,,,ｇｏｏｄｙｇｏｏｄｙ,001-0045,北海道札幌市北区麻生町４丁目９－１４,,,,011-299-6966,,,,,,,,,,,,"北海道/札幌市/北区/麻生町/四丁目/９番","141.33963","43.11138","5","7"
,,,,グラウビュンデン,044-0081,北海道虻田郡倶知安町字山田１３２－２６,,,,0136-23-3371,,,,,,,,,,,,"北海道/虻田郡/倶知安町/山田","140.71840","42.86109","5","5"
,,,,グラウビュンデン,044-0081,北海道虻田郡倶知安町字山田１３２－２６,,,,,0136-22-0737,,,,,,,,,,,"北海道/虻田郡/倶知安町/山田","140.71840","42.86109","5","5"
,,,,グラス,049-3521,北海道山越郡長万部町字長万部大町３１,,,,01377-2-2907,,,,,,,,,,,,"北海道/山越郡/長万部町/長万部","140.37473","42.52660","5","5"
,,,,ｇｒａｚｉｅ石釜ｐｉｚｚａ,089-2615,北海道広尾郡広尾町本通１０丁目４－１,,,,01558-8-7622,,,,,,,,,,,,"北海道/広尾郡/広尾町/本通/十丁目/４番地","143.31419","42.28976","5","7"
,,,,グラッツェ,093-0035,北海道網走市駒場南６丁目１－２５,,,,0152-45-5566,,,,,,,,,,,,"北海道/網走市/駒場南/六丁目/１番","144.28145","44.00113","5","7"
,,,,グラナダ,059-0904,北海道白老郡白老町東町２丁目１－１６,,http://www.geocities.jp/granadayb/,,0144-82-2387,,,,,,,,,,,,"北海道/白老郡/白老町/東町/二丁目/１番","141.36151","42.55371","5","7"
,,,,グランシェフフランス料理店,087-0022,北海道根室市昭和町２丁目６７,,,,0153-23-5806,,,,,,,,,,,,"北海道/根室市/昭和町/二丁目/６７番地","145.59280","43.32472","5","7"
,,,,ＧｒｏｕｎｄＰｕｂＮｉｓｅｋｏ,044-0031,北海道虻田郡倶知安町南１条西１丁目１６,,,,0136-55-5329,,,,,,,,,,,,"北海道/虻田郡/倶知安町/南一条西/一丁目/１６番地","140.75145","42.90103","5","7"
,,,,グリーンスポット,061-1352,北海道恵庭市島松仲町２丁目９－２０,,,,0123-36-3001,,,,,,,,,,,,"北海道/恵庭市/島松仲町/二丁目/９番","141.57556","42.91841","5","7"
,,,,グリルキング,053-0033,北海道苫小牧市木場町１丁目６－１,,,,0144-37-3016,,,,,,,,,,,,"北海道/苫小牧市/木場町/一丁目/６番","141.59544","42.64121","5","7"
,,,,ＧｒｉｌｌＤｉｎｉｎｇｆ,060-0062,北海道札幌市中央区南２条西３丁目,,,,011-596-8366,,,,,,,,,,,,"北海道/札幌市/中央区/南二条西/三丁目","141.35393","43.05774","5","6"
,,,,グリーンパーク,050-0073,北海道室蘭市宮の森町１丁目１－６４,,,,0143-45-0309,,,,,,,,,,,,"北海道/室蘭市/宮の森町/一丁目/１番","141.02179","42.35518","5","7"
,,,,グリーンペペ,075-0006,北海道芦別市北６条西１丁目３－２,,,,0124-22-3535,,,,,,,,,,,,"北海道/芦別市/北六条西/一丁目/３番","142.18382","43.52906","5","7"
,,,,グリーンホリデー,046-0202,北海道積丹郡積丹町大字婦美町５３５,,,,0135-44-2411,,,,,,,,,,,,"北海道/積丹郡/積丹町/婦美町","140.54947","43.31452","5","5"
,,,,ぐるぐる,047-0021,北海道小樽市入船１丁目６－１６,,,,0134-24-2300,,,,,,,,,,,,"北海道/小樽市/入船/一丁目/６番","141.00471","43.18768","5","7"
,,,,グルメあさひ,056-0016,北海道日高郡新ひだか町静内本町３丁目２－６,,,,0146-42-1464,,,,,,,,,,,,"北海道/日高郡/新ひだか町/静内本町/三丁目/２番","142.36279","42.33710","5","7"
,,,,株式会社グルメ杵屋,066-0012,北海道千歳市美々,,,,0123-46-5832,,,,,,,,,,,,"北海道/千歳市/美々","141.69029","42.78782","5","5"
,,,,グルメ香港札幌支店,060-0006,北海道札幌市中央区北６条西１３丁目１－２,,,,011-280-1888,,,,,,,,,,,,"北海道/札幌市/中央区/北六条西/十三丁目/１番地","141.33487","43.06651","5","7"
,,,,グルメン亭,057-0033,北海道浦河郡浦河町堺町東３丁目３－２６,,,,0146-22-1399,,,,,,,,,,,,"北海道/浦河郡/浦河町/堺町東/三丁目/３番","142.76393","42.17822","5","7"
,,,,グレートベア,088-3222,北海道川上郡弟子屈町字弟子屈原野８８３,,,,015-482-3830,,,,,,,,,,,,"北海道/川上郡/弟子屈町/弟子屈原野/８８３番地","144.46136","43.52413","5","7"
,,,,ＫＫＲホテル札幌,060-0004,北海道札幌市中央区北４条西５丁目,info@kkr-hotel-sapporo.com,http://www.kkr-hotel-sapporo.com/,,011-231-6711,,,,,,,,,,,,"北海道/札幌市/中央区/北四条西/五丁目","141.34839","43.06556","5","6"
,,,,軽食・喫茶ノマド,068-0833,北海道岩見沢市志文町９９５－５２,,,,0126-25-3949,,,,,,,,,,,,"北海道/岩見沢市/志文町/９９５番地","141.77350","43.17064","5","7"
,,,,ケニヤ,059-0463,北海道登別市中登別町１７４－９,,,,0143-84-2806,,,,,,,,,,,,"北海道/登別市/中登別町","141.15483","42.47276","5","5"
,,,,ケルン,064-0804,北海道札幌市中央区南４条西５丁目１－１,,,,011-521-0305,,,,,,,,,,,,"北海道/札幌市/中央区/南四条西/五丁目/１番地","141.35078","43.05483","5","7"
,,,,ケープコッド,078-8242,北海道旭川市豊岡１２条３丁目３－２７,,,,0166-31-9807,,,,,,,,,,,,"北海道/旭川市/豊岡十二条/三丁目/３番","142.39943","43.77032","5","7"
,,,,原始林レストラン,069-0833,北海道江別市文京台３１－４,,,,011-386-6222,,,,,,,,,,,,"北海道/江別市/文京台/３１番","141.48993","43.06662","5","7"
,,,,高麗亭,064-0807,北海道札幌市中央区南７条西３丁目,,,,011-561-2929,,,,,,,,,,,,"北海道/札幌市/中央区/南七条西/三丁目","141.35500","43.05208","5","6"
,,,,甲ら屋,087-0037,北海道根室市穂香１１２－４,,,,0153-24-7576,,,,,,,,,,,,"北海道/根室市/穂香/１１２番地","145.54495","43.31284","5","7"
,,,,木かげ,071-0742,北海道空知郡中富良野町字中富良野福原農場,,,,0167-44-2329,,,,,,,,,,,,"北海道/空知郡/中富良野町/中富良野福原農場","142.40433","43.39704","5","5"
,,,,Ｋｏｇａｍｅ,060-0042,北海道札幌市中央区大通西１７丁目２－１８－２Ｆ,,,,011-676-7708,,,,,,,,,,,,"北海道/札幌市/中央区/大通西/十七丁目/２番地","141.33107","43.05749","5","7"
,,,,穀物祭,062-0921,北海道札幌市豊平区中の島１条９丁目１－１,,,,011-812-8888,,,,,,,,,,,,"北海道/札幌市/豊平区/中の島一条/九丁目/１番","141.35373","43.02435","5","7"
,,,,湖月,041-1354,北海道亀田郡七飯町字大沼町７８２,,,,0138-67-3778,,,,,,,,,,,,"北海道/亀田郡/七飯町/大沼町","140.68341","41.96380","5","5"
,,,,湖月,041-1354,北海道亀田郡七飯町字大沼町７８２,,,,,0138-67-3028,,,,,,,,,,,"北海道/亀田郡/七飯町/大沼町","140.68341","41.96380","5","5"
,,,,志,078-3701,北海道苫前郡苫前町字苫前１５４－２,,,,0164-64-2392,,,,,,,,,,,,"北海道/苫前郡/苫前町/苫前","141.65283","44.30693","5","5"
,,,,個室イタリアンＢＲＡＶＯ２,064-0804,北海道札幌市中央区南４条西２丁目２－４,,,,011-211-5564,,,,,,,,,,,,"北海道/札幌市/中央区/南四条西/二丁目/２番地","141.35570","43.05538","5","7"
,,,,こだま,052-0004,北海道伊達市萩原町１０７－４,,,,0142-23-4661,,,,,,,,,,,,"北海道/伊達市/萩原町/１０７番地","140.89128","42.45159","5","7"
,,,,こだま,052-0004,北海道伊達市萩原町１０７－４,,,,,0142-25-6448,,,,,,,,,,,"北海道/伊達市/萩原町/１０７番地","140.89128","42.45159","5","7"
,,,,コットンクロス,047-0024,北海道小樽市花園４丁目１８－３,,,,0134-27-2959,,,,,,,,,,,,"北海道/小樽市/花園/四丁目/１８番","140.99706","43.18925","5","7"
,,,,コテージレイクサンセット,086-0074,北海道根室市東梅２１８－６,,,"                                                宿泊プランをチェック 5,600円～                                                                                                                                                ",0153-25-3510,,,,,,,,,,,,"北海道/根室市/東梅","145.48500","43.24635","5","5"
,,,,小西畜肉株式会社焼肉レストランパティオ（ＰＡＴＩＯ）,090-0041,北海道北見市北１条西２丁目,,,,0157-61-4700,,,,,,,,,,,,"北海道/北見市/北一条西/二丁目","143.89481","43.80439","5","6"
,,,,小麦の家時計台前店,060-0001,北海道札幌市中央区北１条西３丁目,,,,011-252-2231,,,,,,,,,,,,"北海道/札幌市/中央区/北一条西/三丁目","141.35234","43.06239","5","6"
,,,,こもりく（隠口）,060-0063,北海道札幌市中央区南３条西３丁目,,,,011-242-3402,,,,,,,,,,,,"北海道/札幌市/中央区/南三条西/三丁目","141.35391","43.05660","5","6"
,,,,こんくらーぶ,064-0805,北海道札幌市中央区南５条西３丁目,,,,011-520-5535,,,,,,,,,,,,"北海道/札幌市/中央区/南五条西/三丁目","141.35439","43.05447","5","6"
,,,,コンフォルテーボレ,047-0033,北海道小樽市富岡１丁目２０－１,,,,0134-22-1156,,,,,,,,,,,,"北海道/小樽市/富岡/一丁目/２０番","140.99040","43.19264","5","7"
,,,,コーチャンフォー新川通り店インターリュードー,001-0923,北海道札幌市北区新川３条１８丁目１－１,,,,011-769-3333,,,,,,,,,,,,"北海道/札幌市/北区/新川三条/十八丁目/１番","141.29070","43.11404","5","7"
,,,,コートドール,064-0959,北海道札幌市中央区宮ケ丘１丁目２－３８,,,,011-614-1501,,,,,,,,,,,,"北海道/札幌市/中央区/宮ケ丘/一丁目/２番","141.31198","43.05804","5","7"
,,,,コーヒー＆レストランノービオ,001-0045,北海道札幌市北区麻生町２丁目３－１０,,,,011-709-4545,,,,,,,,,,,,"北海道/札幌市/北区/麻生町/二丁目/３番","141.33885","43.10920","5","7"
,,,,コーヒー＆レストランまじょらむ,071-0500,北海道空知郡上富良野町富良野原野１０８５－４２,,http://www2s.biglobe.ne.jp/~caraway/,,0167-45-3366,,,,,,,,,,,,"北海道/空知郡/上富良野町/富町","142.46475","43.45811","5","5"
,,,,コーヒーレスト牧歌,086-1011,北海道標津郡中標津町東１１条南３丁目,,,,0153-72-3662,,,,,,,,,,,,"北海道/標津郡/中標津町/東十一条南/三丁目","144.98430","43.55222","5","6"
,,,,ごくらく亭,041-0853,北海道函館市中道２丁目４９－２１,,,,0138-51-9061,,,,,,,,,,,,"北海道/函館市/中道/二丁目/４９番","140.76430","41.81181","5","7"
,,,,ごちそうキッチン畑のはる,005-0864,北海道札幌市南区芸術の森２丁目,,,,011-215-1778,,,,,,,,,,,,"北海道/札幌市/南区/芸術の森/二丁目","141.33916","42.93779","5","6"
,,,,ご馳走家ゆたか,083-0090,北海道中川郡池田町字大通１丁目７４,,,,0120-041253,,,,,,,,,,,,"北海道/中川郡/池田町/大通/一丁目/７４番地","143.45169","42.92186","5","7"
,,,,ご馳走家ゆたか,083-0090,北海道中川郡池田町字大通１丁目７４,,,,015-572-2220,,,,,,,,,,,,"北海道/中川郡/池田町/大通/一丁目/７４番地","143.45169","42.92186","5","7"
,,,,株式会社五島軒本店レストラン雪河亭,040-0053,北海道函館市末広町４－５,,,,0138-23-1106,,,,,,,,,,,,"北海道/函館市/末広町/４番","140.71635","41.76359","5","7"
,,,,株式会社五島軒／函館カレーＥＸＰＲＥＳＳ,040-0001,北海道函館市五稜郭町４３－９,,,,0138-52-5811,,,,,,,,,,,,"北海道/函館市/五稜郭町/４３番","140.75433","41.79488","5","7"
,,,,株式会社五島軒／本店レストラン雪河亭,040-0053,北海道函館市末広町４－５,,,,0138-23-1106,,,,,,,,,,,,"北海道/函館市/末広町/４番","140.71635","41.76359","5","7"
,,,,さいき,089-0535,北海道中川郡幕別町札内桜町８３－６,,,,0155-28-5555,,,,,,,,,,,,"北海道/中川郡/幕別町/札内桜町/８３番","143.24019","42.91991","5","7"
,,,,サイゼリヤイオン札幌西岡店,062-0033,北海道札幌市豊平区西岡３条３丁目４－１,,,,011-858-9710,,,,,,,,,,,,"北海道/札幌市/豊平区/西岡三条/三丁目/４番","141.38725","43.01899","5","7"
,,,,サイゼリヤキャポ大谷地店,004-0041,北海道札幌市厚別区大谷地東３丁目３－２０,,,,011-890-5115,,,,,,,,,,,,"北海道/札幌市/厚別区/大谷地東/三丁目/３番","141.45245","43.02456","5","7"
,,,,サイゼリヤ札幌駅北口店,060-0807,北海道札幌市北区北７条西２丁目７－１,,,,011-700-5655,,,,,,,,,,,,"北海道/札幌市/北区/北七条西/二丁目/７番地","141.35229","43.06974","5","7"
,,,,サイゼリヤ新札幌駅ビル店,004-0052,北海道札幌市厚別区厚別中央２条５丁目６－２,,http://www.saizeriya.co.jp,,011-890-2696,,,,,,,,,,,,"北海道/札幌市/厚別区/厚別中央二条/五丁目/６番","141.47299","43.03859","5","7"
,,,,有限会社サイロ,005-0832,北海道札幌市南区北ノ沢６丁目１５－１,,,,011-571-0173,,,,,,,,,,,,"北海道/札幌市/南区/北ノ沢/六丁目/１５番","141.32585","43.00415","5","7"
,,,,サイロ展望台,049-5832,北海道虻田郡洞爺湖町成香３－５,,,,0142-87-2221,,,,,,,,,,,,"北海道/虻田郡/洞爺湖町/成香","140.78514","42.63426","5","5"
,,,,ＳＡ・ＫＵ・ＲＡ,078-8205,北海道旭川市東旭川町倉沼３１－３２,,,,0166-39-7835,,,,,,,,,,,,"北海道/旭川市/東旭川町倉沼/３１番地","142.47807","43.77150","5","7"
,,,,さくら館,090-0804,北海道北見市桜町３丁目５８,,,,0157-57-4132,,,,,,,,,,,,"北海道/北見市/桜町/三丁目/５８番地","143.90581","43.80626","5","7"
,,,,桜・ダイニングキッチンカフェ,006-0033,北海道札幌市手稲区稲穂３条６丁目１１－１,,,,011-695-8088,,,,,,,,,,,,"北海道/札幌市/手稲区/稲穂三条/六丁目/１１番","141.21474","43.12750","5","7"
,,,,サジャガーデン韓国食道・新千歳空港店,066-0012,北海道千歳市美々,,,,0123-45-6332,,,,,,,,,,,,"北海道/千歳市/美々","141.69029","42.78782","5","5"
,,,,サッポロクラシックバー,060-0002,北海道札幌市中央区北２条西４丁目,,,,011-213-0002,,,,,,,,,,,,"北海道/札幌市/中央区/北二条西/四丁目","141.35034","43.06367","5","6"
,,,,札幌サンプラザレストランアヴァンクール,001-0024,北海道札幌市北区北２４条西５丁目１－１,,,,011-758-3108,,,,,,,,,,,,"北海道/札幌市/北区/北二十四条西/五丁目/１番","141.34215","43.09060","5","7"
,,,,ＳａｐｐｏｒｏＣｈｅｅｓｅＨｏｕｓｅＭｅｒｏ．,060-0062,北海道札幌市中央区南２条西１丁目１Ｆ,,,,011-252-1515,,,,,,,,,,,,"北海道/札幌市/中央区/南二条西/一丁目/１番地","141.35638","43.05814","5","7"
,,,,サッポロッジ（ＳａｐｐｏＬｏｄｇｅ）,060-0055,北海道札幌市中央区南５条東１丁目１－４,,,"                                                宿泊プランをチェック 2,700円～                                                                                                                                                ",011-211-4314,,,,,,,,,,,,"北海道/札幌市/中央区/南五条東/一丁目/１番地","141.35905","43.05569","5","7"
,,,,札幌ばんけい株式会社／炭火焼ばんけい苑,064-0945,北海道札幌市中央区盤渓３８６,,,,011-641-0119,,,011-641-0186,,,,,,,,,"北海道/札幌市/中央区/盤渓/３８６番地","141.27124","43.01668","5","7"
,,,,札幌芙蓉カントリー倶楽部／レストランニュー三幸,004-0821,北海道札幌市清田区有明４６３－７,,,,011-398-4649,,,,,,,,,,,,"北海道/札幌市/清田区/有明/４６３番地","141.44533","42.95677","5","7"
,,,,佐藤水産株式会社シーフードレストランオールドリバー,061-3243,北海道石狩市新港東１丁目５４,,,,0133-62-4691,,,,,,,,,,,,"北海道/石狩市/新港東/一丁目/５４番地","141.33932","43.20873","5","7"
,,,,里日和,069-1457,北海道夕張郡長沼町東７線南３,,,,0123-82-5257,,,,,,,,,,,,"北海道/夕張郡/長沼町/東七線北","141.72951","43.00289","5","5"
,,,,サフランドール,057-0013,北海道浦河郡浦河町大通３丁目１０,,,,0146-22-2263,,,,,,,,,,,,"北海道/浦河郡/浦河町/大通/三丁目","142.77504","42.16208","5","6"
,,,,サフランドール,057-0013,北海道浦河郡浦河町大通３丁目１０,,,,,0146-22-4588,,,,,,,,,,,"北海道/浦河郡/浦河町/大通/三丁目","142.77504","42.16208","5","6"
,,,,株式会社サプライズ,062-0934,北海道札幌市豊平区平岸４条１０丁目５－４,,,,011-820-3401,,,,,,,,,,,,"北海道/札幌市/豊平区/平岸四条/十丁目/５番","141.37407","43.03077","5","7"
,,,,サルヴァトーレクオモアンドバールすすきの,064-0804,北海道札幌市中央区南４条西１丁目２－１,,,,011-530-0965,,,,,,,,,,,,"北海道/札幌市/中央区/南四条西/一丁目/２番地","141.35675","43.05643","5","7"
,,,,サロベツ会館,098-3211,北海道天塩郡幌延町１条南１丁目６,,,,01632-5-1043,,,,,,,,,,,,"北海道/天塩郡/幌延町","141.73572","45.03314","5","3"
,,,,サロベツ展望レストラン名山台,098-3228,北海道天塩郡幌延町字下沼,,,,01632-5-2532,,,,,,,,,,,,"北海道/天塩郡/幌延町/下沼","141.73572","45.03314","5","5"
,,,,澤田洋食堂,064-0808,北海道札幌市中央区南８条西１６丁目３－８,,,,011-211-6487,,,,,,,,,,,,"北海道/札幌市/中央区/南八条西/十六丁目/３番","141.33286","43.04797","5","7"
,,,,さんかくハウス,078-1701,北海道上川郡上川町字層雲峡,,,,01658-5-3216,,,,,,,,,,,,"北海道/上川郡/上川町/層雲峡","142.95096","43.72330","5","5"
,,,,サンクス・ア・ロット,084-0910,北海道釧路市昭和中央４丁目９－１,,,,0154-53-4640,,,,,,,,,,,,"北海道/釧路市/昭和中央/四丁目/９番","144.35854","43.02267","5","7"
,,,,山恵食肉処理施設,071-1253,北海道上川郡鷹栖町１３線１６,,,,0166-87-4229,,,,,,,,,,,,"北海道/上川郡/鷹栖町/十三線十六号","142.37778","43.87907","5","5"
,,,,三幸ビアレストラン,047-0032,北海道小樽市稲穂１丁目３－６,,,,0134-33-3500,,,,,,,,,,,,"北海道/小樽市/稲穂/一丁目/３番","140.99899","43.19526","5","7"
,,,,サンジュリアン,089-2141,北海道広尾郡大樹町１条通７－１,,,,01558-6-2355,,,,,,,,,,,,"北海道/広尾郡/大樹町/一条通/７番地","143.27461","42.49010","5","7"
,,,,ＳｕｎｓｅｔＴｅｒｒａｃｅ花薄荷,099-0878,北海道北見市東相内町６５９－８,,,,0157-36-8617,,,,,,,,,,,,"北海道/北見市/東相内町/６５９番地","143.79889","43.80038","5","7"
,,,,三千里,064-0804,北海道札幌市中央区南４条西１丁目５,,,,011-251-7641,,,,,,,,,,,,"北海道/札幌市/中央区/南四条西/一丁目/５番地","141.35675","43.05643","5","7"
,,,,サントス,099-4406,北海道斜里郡清里町水元町２,,,,0152-25-2823,,,,,,,,,,,,"北海道/斜里郡/清里町/水元町","144.59746","43.84406","5","5"
,,,,サンドウイッチグルメ,066-0012,北海道千歳市美々,,,,0123-46-5832,,,,,,,,,,,,"北海道/千歳市/美々","141.69029","42.78782","5","5"
,,,,サンドリア,049-2326,北海道茅部郡森町字御幸町１１９,,,,01374-2-2549,,,,,,,,,,,,"北海道/茅部郡/森町/御幸町/１１９番地","140.57693","42.10564","5","7"
,,,,サン・マリノ,041-0843,北海道函館市花園町２１－１０,,,,0138-53-6433,,,,,,,,,,,,"北海道/函館市/花園町/２１番","140.78204","41.79198","5","7"
,,,,サンマルク札幌中島公園店,064-0916,北海道札幌市中央区南１６条西５丁目４－２０,,,,011-531-0309,,,,,,,,,,,,"北海道/札幌市/中央区/南十六条西/五丁目/４番","141.35292","43.03915","5","7"
,,,,サンモニート,080-0804,北海道帯広市東４条南１９丁目８－１,,,,0155-24-9685,,,,,,,,,,,,"北海道/帯広市/東四条南/十九丁目/８番地","143.21382","42.91107","5","7"
,,,,サンリフレ函館レストルームローカン,040-0034,北海道函館市大森町２－１４,,,,0138-22-6643,,,,,,,,,,,,"北海道/函館市/大森町/２番","140.72987","41.76518","5","7"
,,,,サンリフレ函館レストルームローカン,040-0034,北海道函館市大森町２－１４,,,,0138-22-7668,0138-22-7668,,,,,,,,,,,"北海道/函館市/大森町/２番","140.72987","41.76518","5","7"
,,,,サーモン亭,086-1631,北海道標津郡標津町北１条西６丁目１－２,,,,0153-82-1121,,,,,,,,,,,,"北海道/標津郡/標津町/北一条西/六丁目","145.11679","43.65920","5","6"
,,,,ザ・ガーデン茨戸,061-3245,北海道石狩市生振９線南,,,,0133-60-4111,,,,,,,,,,,,"北海道/石狩市/生振","141.36536","43.19952","5","5"
,,,,ＴｈｅＢａｒｎ,044-0081,北海道虻田郡倶知安町字山田１７０－３２３,,,,0136-23-0888,,,,,,,,,,,,"北海道/虻田郡/倶知安町/山田","140.71840","42.86109","5","5"
,,,,ＴＨＥ・ＭＥＡＴＳＨＯＰ,060-0001,北海道札幌市中央区北１条西３丁目,,,,011-231-2909,,,,,,,,,,,,"北海道/札幌市/中央区/北一条西/三丁目","141.35234","43.06239","5","6"
